"Dates","EUNW GY Equity","IS3N GY Equity","ICGA GY Equity","QDV5 GY Equity","CEBJ GR Equity","XMTW GY Equity","H4ZT GY Equity","XCS3 GT Equity","XCS4 GY Equity","IUSS GY Equity","IUS7 GY Equity","IUSP GY Equity","IBCA GY Equity","IBCM GY Equity","IUSM GY Equity","IBCI GY Equity","EUN5 GY Equity","XPQP GY Equity","XMBR GY Equity","D5BI GY Equity","XMLA GT Equity","IBC4 GY Equity","LTUR GY Equity","LYXGRE GY Equity","IBCJ GY Equity"
2007-01-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.97,NA,NA,NA,NA,NA,NA,37.15,NA,NA
2007-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.57,NA,NA
2007-01-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.31,NA,NA
2007-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.23,NA,NA,155.83,NA,NA,NA,NA,NA,NA,36.43,NA,NA
2007-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.26,NA,NA,156.31,NA,NA,NA,NA,NA,NA,37.85,NA,NA
2007-02-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-02-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.42,NA,NA,156.26,NA,NA,NA,NA,NA,NA,38.31,NA,NA
2007-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.48,NA,NA,156.62,NA,NA,NA,NA,NA,NA,38.05,NA,NA
2007-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.49,NA,NA,156.61,NA,NA,NA,NA,NA,NA,38.1,NA,NA
2007-02-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.37,NA,NA,156.37,NA,NA,NA,NA,NA,NA,37.02,NA,NA
2007-02-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.71,NA,NA
2007-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.45,NA,NA,155.51,NA,NA,NA,NA,NA,NA,37.34,NA,NA
2007-02-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.9,NA,NA
2007-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.41,NA,NA,155.29,NA,NA,NA,NA,NA,NA,38.57,NA,NA
2007-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.54,NA,NA,156.26,NA,NA,NA,NA,NA,NA,39.27,NA,NA
